,time,mV
0,0.3702229,2.0
1,0.011444399999999966,2.0
2,0.0226286,2.0
3,0.033548599999999984,2.0
4,0.04457819999999996,2.0
5,0.056095499999999965,2.0
6,0.06804069999999995,2.0
7,0.07951819999999998,2.0
8,0.09038359999999995,2.0
9,0.10176459999999998,2.0
10,0.11282579999999998,2.0
11,0.1245828,2.0
12,0.13558180000000003,2.0
13,0.14686439999999995,2.0
14,0.15805750000000002,2.0
15,0.16954229999999998,2.0
16,0.180788,2.0
17,0.19357059999999998,2.0
18,0.20556919999999995,2.0
19,0.2174145,2.0
20,0.23041379999999995,2.0
21,0.24192239999999993,2.0
22,0.2533344,2.0
23,0.26526939999999993,2.0
24,0.27680829999999995,2.0
25,0.28826879999999994,2.0
26,0.29971849999999994,2.0
27,0.31131669999999995,2.0
28,0.32283539999999994,2.0
29,1.5926558,3.6
30,1.6042454,5.4
31,1.6162093,7.2
32,1.6276217,9.0
33,1.6388045999999998,10.8
34,1.6504767999999999,12.6
35,1.6619912000000001,14.4
36,1.6735535000000001,16.2
37,1.6848044,18.0
38,1.6959464999999998,18.0
39,1.7072591999999998,18.0
40,1.7182613999999998,18.0
41,1.7298814999999998,18.0
42,1.7409643,18.0
43,1.7519318,18.0
44,1.7634176,18.3
45,1.7742833999999998,18.3
46,1.7852714,18.3
47,1.7965781,18.3
48,1.8084539,18.3
49,1.8199977999999999,18.6
50,1.8310431999999999,18.6
51,1.842841,18.6
52,1.8548714999999998,18.6
53,1.8663971,18.9
54,1.8775521999999998,18.9
55,1.8889307999999998,18.9
56,1.9004404,19.2
57,1.9119373,19.5
58,1.9231150000000001,19.8
59,1.9346481,19.8
60,1.9457767000000001,20.1
61,1.9571552999999997,20.4
62,1.9686206,20.7
63,1.9797183999999999,20.7
64,1.9913024,20.7
65,2.0030460999999997,21.0
66,2.0147089,21.0
67,2.0264314999999997,21.0
68,2.0379361,21.0
69,2.0493265,21.0
70,2.060956,21.0
71,2.072939,21.0
72,2.0844348,21.0
73,2.0959531,21.0
74,2.1077398,21.0
75,2.1197342,21.0
76,2.1313087,21.0
77,2.1424515,21.0
78,2.1542395,21.0
79,2.1657389,21.0
80,2.1774302,21.0
81,2.1898345999999997,21.0
82,2.201791,21.0
83,2.213772,21.0
84,2.224973,21.0
85,2.236834,21.0
86,2.2478848,21.0
87,2.259012,21.0
88,2.2704201999999998,21.0
89,2.2819390999999998,21.0
90,2.2934248,21.0
91,2.305116,21.0
92,2.3166111,21.0
93,2.3283264,21.0
94,2.3397675,21.0
95,2.3509244,21.0
96,2.3624271,21.0
97,2.3739206,21.0
98,2.3849179,21.0
99,2.3964122999999997,21.0
100,2.4078179,21.0
101,2.4197024,21.0
102,2.4314117,21.0
103,2.4429336999999998,21.0
104,2.4546285,21.0
105,2.4666172,21.0
106,2.4784002,21.0
107,2.4897809,21.0
108,2.5012741,21.0
109,2.512781,20.7
110,2.5242564,20.4
111,2.5357765999999997,20.1
112,2.5472538,19.8
113,2.5587708,19.5
114,2.5697741,19.5
115,2.5812663,19.5
116,2.5927785,19.5
117,2.604271,19.5
118,2.6152699999999998,19.5
119,2.6267573,19.8
120,2.6382692,20.1
121,2.6497762,20.4
122,2.6612712,20.7
123,2.6733134,21.0
124,2.6847735,21.0
125,2.696268,21.0
126,2.7077836,21.0
127,2.7192743,21.0
128,2.7317714,21.0
129,2.7432659,21.0
130,2.7552735999999998,21.0
131,2.7667745,21.0
132,2.7782664,21.0
133,2.789768,21.0
134,2.8007722,21.0
135,2.8122702,21.0
136,2.8238885,21.0
137,2.8357726,21.0
138,2.8472562999999997,21.0
139,2.8587577,21.0
140,2.87063,21.0
141,2.8825732,21.0
142,2.8942936,21.0
143,2.9059727,21.0
144,2.9175352,21.0
145,2.9287826,21.0
146,2.9401839,21.0
147,2.9519333999999997,21.0
148,2.9634323,21.0
149,2.9750039999999998,21.0
150,2.9861674,21.0
151,2.9979766,21.0
152,3.0101127,21.0
153,3.0219203,21.0
154,3.033922,21.0
155,3.0453964,21.0
156,3.056809,21.0
157,3.0684576,20.7
158,3.0800335,20.4
159,3.0920508,20.1
160,3.1033881,19.8
161,3.1148061,19.5
162,3.1258869,19.2
163,3.1369225,18.9
164,3.1484644999999998,18.6
165,3.1599649,18.3
166,3.1714829,17.8
167,3.1826653,17.6
168,3.194245,17.4
169,3.2054256999999997,17.2
170,3.217046,17.0
171,3.2285109,16.8
172,3.2398983,16.3
173,3.2512675,15.8
174,3.2628467999999997,15.3
175,3.2748321,14.8
176,3.286463,14.5
177,3.2974992,14.2
178,3.3086734,13.6
179,3.3204405,13.0
180,3.3321757,12.4
181,3.3435515,11.8
182,3.3553699,11.3
183,3.3668682999999997,10.8
184,3.3784169,10.3
185,3.3902577,9.5
186,3.4019877,8.7
187,3.4138431,7.9
188,3.4254599,7.4
189,3.4369085,6.9
190,3.4481625,6.4
191,3.4591343,5.9
192,3.4706823,5.6
193,3.4821461,5.3
194,3.4937989,5.0
195,3.5052401,5.0
196,3.5168048,5.0
197,3.5283259,5.0
198,3.5400779,5.0
199,3.5517792,4.7
200,3.5634239,4.4
201,3.5749246,4.1
202,3.5865066999999997,3.8
203,3.5976941,3.5
204,3.608731,3.2
205,3.6199426,2.9
206,3.6312862999999997,2.6
207,3.6424086,2.3
208,3.6541431,2.0
209,3.6653961,2.0
210,3.6769332999999995,2.0
211,3.6886800999999996,2.0
212,3.7002422999999998,2.0
213,3.71182,2.0
214,3.7233293,2.0
215,3.7348772,2.0
216,3.7463535,2.0
217,3.758364,2.0
218,3.7705014999999995,2.0
219,3.7822523,2.0
220,3.7936618999999996,2.0
221,3.8050811,2.0
222,3.8165394000000004,2.0
223,3.8280292,2.0
224,3.8399677999999997,2.0
225,3.8509854000000003,2.0
226,3.8626596999999996,2.0
227,3.8742075000000002,2.0
228,3.8856534000000003,2.0
229,3.8974556000000002,2.0
230,3.9088100000000003,2.0
231,3.9207784999999995,2.0
232,3.9320313,2.0
233,3.9440174999999997,2.0
234,3.9552196,2.0
235,3.9667448999999997,2.0
236,3.9777618,2.0
237,3.9889176999999996,2.0
238,4.0007963,2.0
239,4.012028600000001,2.0
240,4.0234218,2.0
241,4.0344508,2.0
242,4.0459484,2.0
243,4.057126500000001,2.0
244,4.0685231,2.0
245,4.079529,2.0
246,4.0911879,2.0
247,4.1027844,2.0
248,4.114086100000001,2.0
249,4.1257624,2.0
250,4.1372434,2.0
251,4.1492927,2.0
252,4.1612678,2.0
253,4.1727297000000005,2.0
254,4.184050900000001,2.0
255,4.1962073,2.0
256,4.2077068,2.0
257,4.219455900000001,2.0
258,4.231315400000001,2.0
259,4.2426082,2.0
260,4.2536266000000005,2.0
261,4.2652030000000005,2.0
262,4.2764125,2.0
263,4.288426,2.0
264,4.299919,2.0
265,4.3117422,2.0
266,4.3230233,2.0
267,4.334658800000001,2.0
268,4.3466715,2.0
269,4.3582558,2.0
270,4.3696263,2.0
271,4.381082500000001,2.0
272,4.3927323000000005,2.0
273,4.404351200000001,2.0
274,4.4152953,2.0
275,4.426805300000001,2.0
276,4.438330700000001,2.0
277,4.4498026,2.0
278,4.4613082,2.0
279,4.472488,2.0
280,4.4840834,2.0
281,4.4954274000000005,2.0
282,4.506553,2.0
283,4.5173991000000004,2.0
284,4.529301500000001,2.0
285,4.5412471000000005,2.0
286,4.552242400000001,2.0
287,4.5638657,2.0
288,4.5761908,2.0
289,4.587371500000001,2.0
290,4.5989462,2.0
291,4.6104538,2.0
292,4.621480900000001,2.0
293,4.63267,2.0
294,4.6441531000000005,2.0
295,4.655242400000001,2.0
296,4.666446700000001,2.0
297,4.6774237,2.0
298,4.6889332,2.0
299,4.7009243000000005,2.0
300,4.7123346,2.0
301,4.7233594000000005,2.0
302,4.735381,2.0
303,4.7473751,2.0
304,4.7589256,2.0
305,4.771419900000001,2.0
306,4.783405500000001,2.0
307,4.7949752000000005,2.0
308,4.806682400000001,2.0
309,4.818623400000001,2.0
310,4.8300853,2.0
311,4.8415857,2.0
312,4.8534202,2.0
313,4.864951400000001,2.0
314,4.8764243,2.0
315,4.887421000000001,2.0
316,4.8989481,2.0
317,4.9104342,2.0
318,4.9219356,2.0
319,4.933279000000001,2.0
320,4.945004600000001,2.0
321,4.9561726,2.0
322,4.96766,2.0
323,4.9790085,2.0
324,4.990993100000001,2.0
325,5.0027552,2.0
326,5.0142584,2.0
327,5.025335200000001,2.0
328,5.037113300000001,2.0
329,5.0486072,2.0
330,5.060306300000001,2.0
331,5.072129,2.0
332,5.0834498,2.0
333,5.094985800000001,2.0
334,5.1063706,2.0
335,5.117844600000001,2.0
336,5.1290047,2.0
337,5.140475400000001,2.0
338,5.152148400000001,2.0
339,5.163642800000001,2.0
340,5.1754169,2.0
341,5.1874238,2.0
342,5.199275200000001,2.0
343,5.2111429000000005,2.0
344,5.2226289,2.0
345,5.2337476,2.0
346,5.244925500000001,2.0
347,5.256875600000001,2.0
348,5.268487,2.0
349,5.2799915,2.0
350,5.2913462,2.0
351,5.3031081,2.0
352,5.3146073000000005,2.0
353,5.3254871,2.0
354,5.3368243,2.0
355,5.3479478,2.0
356,5.3591841,2.0
357,5.3710353,2.0
358,5.3821547,2.0
359,5.3936694,2.0
360,5.4053531,2.0
361,5.417369900000001,2.0
362,5.4291315,2.0
363,5.441126400000001,2.0
364,5.4522937,2.0
365,5.463970000000001,2.0
366,5.475282600000001,2.0
367,5.4867207,2.0
368,5.497917500000001,2.0
369,5.5089402000000005,2.0
370,5.5205001000000005,2.0
371,5.5319569,2.0
372,5.5435939,2.0
373,5.555097,2.0
374,5.5669521,2.0
375,5.5786682,2.0
376,5.5902272,2.0
377,5.6020501000000005,2.0
378,5.6136781000000004,2.0
379,5.6254985,2.0
380,5.6371336,2.0
381,5.6486862,2.0
382,5.6605046,2.0
383,5.672149500000001,2.0
384,5.6836684,2.0
385,5.6955136,2.0
386,5.7067695,2.0
387,5.7179321000000005,2.0
388,5.729685900000001,2.3
389,5.741545800000001,2.6
390,5.753168700000001,2.9
391,5.7647047,3.2
392,5.7758652,3.5
393,5.7874159,3.8
394,5.7987571,4.1
395,5.8102516,4.4
396,5.8222358000000005,4.7
397,5.8336927,5.0
398,5.8455301,5.0
399,5.8575413,5.0
400,5.8690176,5.3
401,5.8802009,5.6
402,5.891661200000001,5.9
403,5.9031422000000005,6.2
404,5.91457,6.5
405,5.925665400000001,6.8
406,5.9375230000000006,7.1
407,5.949048,7.4
408,5.960161,7.9
409,5.9716776000000005,8.4
410,5.9834148,8.6
411,5.994917,8.8
412,6.0065008,9.0
413,6.0179812,9.2
414,6.0296734,9.4
415,6.042208100000001,9.6
416,6.053657500000001,9.8
417,6.0650719,10.0
418,6.076842200000001,10.0
419,6.0883058000000005,10.3
420,6.0998036,10.6
421,6.1114673,10.9
422,6.122726,11.2
423,6.134733600000001,11.5
424,6.1461426,11.8
425,6.1577038,12.1
426,6.169498,12.4
427,6.1810212,12.7
428,6.1935279,13.0
429,6.2071728,13.0
430,6.218756900000001,13.0
431,6.2305454000000005,13.0
432,6.2421873,13.3
433,6.253681800000001,13.6
434,6.265187200000001,13.9
435,6.2767222,14.2
436,6.2880929000000005,14.5
437,6.2996416,14.8
438,6.311561500000001,15.1
439,6.3230653000000006,15.4
440,6.3344641,15.7
441,6.345454800000001,16.0
442,6.356970700000001,16.0
443,6.368145200000001,16.0
444,6.379813700000001,16.0
445,6.3916139,16.0
446,6.4030794,16.2
447,6.4145944,16.4
448,6.4261099,16.6
449,6.4373512,16.8
450,6.449353100000001,17.0
451,6.461227,17.2
452,6.4732108,17.4
453,6.4847375000000005,17.6
454,6.4958781000000005,17.8
455,6.5068757,18.0
456,6.5183605,18.0
457,6.5300346000000005,18.0
458,6.5411335,18.0
459,6.5519851000000005,18.0
460,6.5636497,18.3
461,6.5753281,18.6
462,6.5871183,18.9
463,6.598941,19.2
464,6.6105238,19.5
465,6.622368600000001,19.8
466,6.6335044000000005,20.1
467,6.644751100000001,20.4
468,6.6559537,20.7
469,6.667491900000001,21.0
470,6.6786607,21.0
471,6.6901541,21.0
472,6.7014505,21.0
473,6.7131182,21.0
474,6.7248725,20.7
475,6.7364188,20.4
476,6.7480612,20.1
477,6.760041500000001,20.1
478,6.7714865,20.1
479,6.7829933,20.1
480,6.794950200000001,20.1
481,6.806418900000001,20.1
482,6.8180709,20.1
483,6.8300666,20.1
484,6.842609100000001,20.4
485,6.8545578,20.7
486,6.866380700000001,21.0
487,6.8785727,21.0
488,6.8897691000000005,21.0
489,6.901156800000001,21.0
490,6.912518100000001,21.0
491,6.9239353,21.0
492,6.9355302000000005,21.0
493,6.946659400000001,21.2
494,6.9586369,21.4
495,6.969972100000001,21.6
496,6.981184900000001,21.8
497,6.992055000000001,22.0
498,7.0035524,22.2
499,7.0152932,22.4
500,7.0265898,22.6
501,7.0377894,22.8
502,7.0496274,23.0
503,7.0613036000000005,23.0
504,7.0731606000000005,23.0
505,7.0845972,23.0
506,7.0961078,23.0
507,7.1075515000000005,23.0
508,7.119013000000001,23.0
509,7.130661300000001,23.0
510,7.1421614,23.0
511,7.153642400000001,23.0
512,7.1651543,23.0
513,7.1761754,23.0
514,7.188056400000001,23.0
515,7.1998234000000005,23.0
516,7.2118799000000005,23.0
517,7.223667000000001,23.0
518,7.2351761,23.0
519,7.247001200000001,23.0
520,7.2586943,23.0
521,7.2705213,23.0
522,7.2821825,23.0
523,7.2938115,23.0
524,7.305537200000001,23.0
525,7.317161700000001,23.0
526,7.328687,23.0
527,7.340535200000001,23.0
528,7.351860100000001,23.0
529,7.3633335,23.0
530,7.3751528,23.0
531,7.3868692000000005,22.8
532,7.3983666,22.6
533,7.4099846000000005,22.4
534,7.4212349,22.2
535,7.4327344,22.2
536,7.444137700000001,22.2
537,7.4559802,22.2
538,7.4679836,22.2
539,7.4795876,22.2
540,7.4911601,22.2
541,7.502661300000001,22.4
542,7.5140227,22.6
543,7.525141100000001,22.8
544,7.536612300000001,23.0
545,7.5483563,23.0
546,7.5598714000000005,23.0
547,7.571303,23.0
548,7.5828144,23.0
549,7.594186400000001,23.0
550,7.6054345,23.0
551,7.6168303,23.0
552,7.6278753,23.0
553,7.6389024999999995,23.3
554,7.6503909000000005,23.3
555,7.662008900000001,23.3
556,7.673716400000001,23.3
557,7.6851992000000005,23.3
558,7.696921800000001,23.3
559,7.708306600000001,23.3
560,7.7197655,23.3
561,7.7316811,23.3
562,7.743146,23.3
563,7.7553387,23.0
564,7.766970400000001,23.0
565,7.778463900000001,23.0
566,7.789465800000001,23.0
567,7.8012466,23.0
568,7.8127448,23.0
569,7.824285000000001,23.0
570,7.8358110000000005,23.0
571,7.847789100000001,23.0
572,7.859506800000001,23.0
573,7.870481600000001,23.0
574,7.8823377,23.0
575,7.894268300000001,23.0
576,7.9056477,23.0
577,7.917654700000001,23.0
578,7.9292206,23.0
579,7.9410818,23.0
580,7.9528455,23.0
581,7.9648885,23.0
582,7.976490000000001,23.0
583,7.9879854,23.3
584,7.999376500000001,23.6
585,8.0110944,23.9
586,8.0229688,24.2
587,8.034870699999999,24.5
588,8.0466988,24.8
589,8.0586959,25.1
590,8.0703892,25.4
591,8.0823615,25.7
592,8.0944567,26.0
593,8.1060863,26.0
594,8.117559199999999,26.0
595,8.128981099999999,26.0
596,8.140200799999999,26.0
597,8.1520203,26.0
598,8.163411199999999,26.0
599,8.1749238,26.0
600,8.186279899999999,26.0
601,8.198351599999999,26.0
602,8.209281299999999,25.7
603,8.221176,25.4
604,8.233064299999999,25.1
605,8.244554299999999,24.8
606,8.2560811,24.5
607,8.2675913,24.2
608,8.2795711,24.2
609,8.291491299999999,24.2
610,8.302681999999999,24.2
611,8.3143642,24.2
612,8.3255068,24.5
613,8.337154499999999,24.8
614,8.3485331,25.1
615,8.359980199999999,25.1
616,8.3711757,25.1
617,8.3825832,25.4
618,8.3942005,25.4
619,8.4053265,25.4
620,8.4170102,25.4
621,8.428043299999999,25.4
622,8.4399185,25.4
623,8.4517286,25.4
624,8.463480899999999,25.4
625,8.4749734,25.4
626,8.486601499999999,25.4
627,8.498644599999999,25.1
628,8.5105265,24.8
629,8.5220723,24.8
630,8.5335448,24.8
631,8.544948699999999,24.8
632,8.5564395,24.8
633,8.5681794,24.8
634,8.5796732,24.8
635,8.5911124,25.1
636,8.602464999999999,25.4
637,8.6138968,25.7
638,8.6256582,26.0
639,8.6375171,26.0
640,8.649063799999999,26.0
641,8.6610119,26.0
642,8.6728439,26.0
643,8.6843038,26.0
644,8.6961993,26.0
645,8.707862299999999,26.0
646,8.7188663,26.0
647,8.7306163,26.0
648,8.7425306,26.0
649,8.7539716,26.0
650,8.7656855,26.0
651,8.777168099999999,26.0
652,8.788523,26.0
653,8.8000109,26.0
654,8.8113577,26.0
655,8.8224924,26.0
656,8.8339848,26.0
657,8.845686299999999,26.0
658,8.856721799999999,26.0
659,8.8681707,26.0
660,8.8796087,26.0
661,8.8911065,26.0
662,8.902713499999999,26.0
663,8.914473599999999,26.0
664,8.9260418,26.0
665,8.9371317,26.0
666,8.9486306,26.0
667,8.9600527,26.0
668,8.9713914,26.0
669,8.983070099999999,26.0
670,8.9946374,25.7
671,9.006103099999999,25.4
672,9.0176584,25.1
673,9.0291477,24.8
674,9.0404611,24.5
675,9.051854599999999,24.2
676,9.063478,23.9
677,9.0751441,23.6
678,9.0866508,23.3
679,9.0983468,23.0
680,9.110022599999999,23.0
681,9.1214447,23.0
682,9.1336239,22.8
683,9.145198599999999,22.6
684,9.156674299999999,22.4
685,9.1686426,22.2
686,9.1800237,22.0
687,9.192191399999999,21.8
688,9.2036795,21.6
689,9.2151748,21.4
690,9.226661799999999,21.2
691,9.2384653,21.0
692,9.2501591,21.0
693,9.262005799999999,21.0
694,9.2739656,21.0
695,9.2859716,21.0
696,9.297339299999999,20.7
697,9.3095577,20.4
698,9.321051299999999,20.4
699,9.3324343,20.4
700,9.3440657,20.4
701,9.355564699999999,20.4
702,9.367631399999999,20.4
703,9.3791548,20.4
704,9.391165599999999,20.4
705,9.4027082,20.4
706,9.4147058,20.7
707,9.426546199999999,21.0
708,9.4380854,21.0
709,9.4494238,21.0
710,9.4609165,21.0
711,9.472719,21.0
712,9.4842893,21.0
713,9.496282899999999,21.0
714,9.5076529,21.0
715,9.519087899999999,21.0
716,9.5311047,21.0
717,9.5426596,20.7
718,9.554498299999999,20.4
719,9.5660131,20.1
720,9.5771644,19.8
721,9.5887102,19.5
722,9.5998781,19.2
723,9.6116581,18.7
724,9.6231641,18.2
725,9.6346323,17.7
726,9.6461416,17.2
727,9.6575448,17.0
728,9.668688699999999,16.5
729,9.6806053,16.0
730,9.692326,15.5
731,9.703532599999999,15.0
732,9.715418399999999,14.5
733,9.727031,13.9
734,9.738653,13.3
735,9.7505349,12.7
736,9.7621983,12.1
737,9.773646999999999,11.5
738,9.7851346,11.2
739,9.7966971,10.9
740,9.807981,10.4
741,9.819647699999999,9.9
742,9.831206,9.4
743,9.8426546,9.2
744,9.8538946,9.0
745,9.8648849,8.5
746,9.8764764,8.0
747,9.8877638,7.5
748,9.8989517,7.0
749,9.910448299999999,6.5
750,9.921874599999999,6.2
751,9.9336691,5.9
752,9.945143,5.6
753,9.9566892,5.3
754,9.968193399999999,5.0
755,9.9799081,5.0
756,9.991552299999999,5.0
757,10.003052,5.0
